epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7228,2.07228,2.42141,1.0566,0.85137,0.82,0.85094,0.3686,1.91463,0.93281,0.99608,0.000662577,0.000662577,0.000662577
2,131.519,1.882,0.94942,1.00241,0.8638,0.784,0.83693,0.35753,1.93574,0.90914,1.00066,0.00131608,0.00131608,0.00131608
3,194.164,1.87898,0.91609,1.00063,0.83972,0.798,0.85675,0.37023,1.90558,0.87566,0.98788,0.00195639,0.00195639,0.00195639
4,263.128,1.84639,0.89332,0.99114,0.85962,0.8005,0.85729,0.37645,1.93852,0.86935,0.99406,0.0019406,0.0019406,0.0019406
5,337.415,1.79917,0.85896,0.98285,0.90446,0.82358,0.87252,0.37791,1.88706,0.84399,0.98754,0.0019208,0.0019208,0.0019208
6,417.187,1.75816,0.8353,0.97417,0.89984,0.8035,0.89067,0.38416,1.90387,0.86646,0.97572,0.001901,0.001901,0.001901
7,499.267,1.76739,0.82165,0.97613,0.89609,0.8322,0.87636,0.39051,1.86601,0.84382,0.97667,0.0018812,0.0018812,0.0018812
8,582.282,1.75239,0.81302,0.9722,0.88117,0.786,0.85746,0.36361,1.97029,0.89265,0.99721,0.0018614,0.0018614,0.0018614
9,665.794,1.71075,0.80024,0.96193,0.76889,0.78514,0.81869,0.35975,1.85451,1.05019,0.97178,0.0018416,0.0018416,0.0018416
10,752.487,1.68769,0.78293,0.95907,0.88252,0.848,0.88918,0.38084,1.91642,0.83702,0.97924,0.0018218,0.0018218,0.0018218
11,842.957,1.68964,0.77725,0.96304,0.91911,0.85781,0.8955,0.40495,1.82674,0.76975,0.9662,0.001802,0.001802,0.001802
12,934.179,1.64596,0.75669,0.95373,0.92559,0.852,0.89884,0.41145,1.84599,0.7713,0.97212,0.0017822,0.0017822,0.0017822
13,1024.63,1.65377,0.76653,0.95317,0.91244,0.83367,0.88414,0.3958,1.88264,0.8022,0.97824,0.0017624,0.0017624,0.0017624
14,1112.85,1.65539,0.75821,0.95259,0.79247,0.85919,0.86124,0.3948,1.84722,0.83083,0.9717,0.0017426,0.0017426,0.0017426
